"Yumi","w",1
"Yuna","w",9
"Yunus","m",2
"Yuri","m",3
"Zahra","w",1
"Zakaria","m",1
"Zehra","w",1
"Zeno","m",1
"Zoe","w",13
"Zoé","w",3
"Zoey","w",3
"Zora","w",7
"Zuzanna","w",1
